Namespace(batch_size=128, dataset='cifar10', epochs=100, load_chkpt=120, lr_chechpoint1=60, lr_chechpoint2=80, lr_max=0.1, lr_schedule='piecewise', model='PreRes18_standard', momentum=0.9, seed=1, train_mode='std_train', weight_decay=0.0005)
Epoch 	 Train Time 	 Test Time 	 LR 	 	 	 Train Loss 	 Train Acc  	 Test Loss 	 Test Acc
50 		 10.1 	 	 1.2 	 	 0.1000 			 0.3099 	 0.8928 	 1.3657 	 0.6158
51 		 10.1 	 	 1.2 	 	 0.1000 			 0.2877 	 0.9006 	 1.3335 	 0.6269
52 		 10.0 	 	 1.2 	 	 0.1000 			 0.3099 	 0.8934 	 1.5167 	 0.5758
53 		 10.1 	 	 1.2 	 	 0.1000 			 0.2942 	 0.8984 	 1.4755 	 0.6084
54 		 10.1 	 	 1.2 	 	 0.1000 			 0.2970 	 0.8971 	 1.2061 	 0.6464
55 		 10.1 	 	 1.2 	 	 0.1000 			 0.2984 	 0.8961 	 1.2098 	 0.6534
56 		 10.0 	 	 1.2 	 	 0.1000 			 0.2925 	 0.8985 	 1.4653 	 0.6040
57 		 10.1 	 	 1.2 	 	 0.1000 			 0.2879 	 0.8997 	 1.5802 	 0.5907
58 		 10.1 	 	 1.2 	 	 0.1000 			 0.2902 	 0.8991 	 1.2570 	 0.6353
59 		 10.1 	 	 1.2 	 	 0.1000 			 0.2935 	 0.8982 	 1.2589 	 0.6284
60 		 10.0 	 	 1.2 	 	 0.0100 			 0.2979 	 0.8962 	 1.7745 	 0.5471
61 		 10.1 	 	 1.2 	 	 0.0100 			 0.0841 	 0.9757 	 0.9615 	 0.7251
62 		 10.1 	 	 1.2 	 	 0.0100 			 0.0169 	 0.9989 	 0.9999 	 0.7271
63 		 10.1 	 	 1.2 	 	 0.0100 			 0.0092 	 0.9999 	 1.0209 	 0.7276
64 		 10.0 	 	 1.2 	 	 0.0100 			 0.0064 	 1.0000 	 1.0209 	 0.7281
65 		 10.1 	 	 1.2 	 	 0.0100 			 0.0054 	 1.0000 	 1.0336 	 0.7291
66 		 10.1 	 	 1.2 	 	 0.0100 			 0.0045 	 1.0000 	 1.0291 	 0.7317
67 		 10.1 	 	 1.2 	 	 0.0100 			 0.0040 	 1.0000 	 1.0350 	 0.7300
68 		 10.0 	 	 1.2 	 	 0.0100 			 0.0036 	 1.0000 	 1.0337 	 0.7291
69 		 10.1 	 	 1.2 	 	 0.0100 			 0.0035 	 1.0000 	 1.0321 	 0.7288
70 		 10.1 	 	 1.2 	 	 0.0100 			 0.0033 	 1.0000 	 1.0255 	 0.7312
71 		 10.1 	 	 1.2 	 	 0.0100 			 0.0031 	 1.0000 	 1.0211 	 0.7319
72 		 10.0 	 	 1.2 	 	 0.0100 			 0.0030 	 1.0000 	 1.0297 	 0.7334
73 		 10.1 	 	 1.2 	 	 0.0100 			 0.0029 	 1.0000 	 1.0189 	 0.7312
